"grappe","menage","score_fies","pluriactif","a_elevage","revenu_agri","a_vendu","irrig","coop","temps_marche","hhweight","region","hhsize","hage","hgender","milieu_rural","educ_primaire","log_pcexp","producteur","log_revenu","log_temps_marche"
995,17,6,0,0,0,0,NA,NA,75,288.490570068359,1,4,29,1,1,0,12.2767816165922,0,0,4.33073334028633
995,18,3,0,0,0,0,NA,NA,75,288.490570068359,1,7,40,1,1,0,12.6344619335543,0,0,4.33073334028633
995,21,5,0,0,0,0,NA,NA,75,288.490570068359,1,1,25,1,1,0,13.5027575701246,0,0,4.33073334028633
995,22,4,0,0,0,0,NA,NA,75,288.490570068359,1,7,33,1,1,0,11.9448639162996,0,0,4.33073334028633
995,23,6,0,0,0,0,NA,NA,75,288.490570068359,1,8,41,1,1,0,11.9427681970407,0,0,4.33073334028633
995,25,4,0,0,0,0,NA,NA,75,288.490570068359,1,5,31,1,1,0,11.9165870727489,0,0,4.33073334028633
995,26,6,0,0,0,0,NA,NA,75,288.490570068359,1,3,29,1,1,0,12.9123875930145,0,0,4.33073334028633
995,28,3,0,0,0,0,NA,NA,75,288.490570068359,1,2,30,1,1,0,13.0243047490733,0,0,4.33073334028633
3,3,4,0,0,0,0,NA,NA,35,255.752822875977,1,5,51,1,1,0,12.2658455076435,0,0,3.58351893845611
3,4,4,0,0,0,0,NA,NA,35,255.752822875977,1,4,56,1,1,0,12.6207318167449,0,0,3.58351893845611
3,5,5,0,0,0,0,NA,NA,35,255.752822875977,1,5,48,1,1,0,13.0029198545268,0,0,3.58351893845611
3,7,5,0,0,0,0,NA,NA,35,255.752822875977,1,5,70,1,1,0,12.5121146690917,0,0,3.58351893845611
3,8,5,0,0,0,0,NA,NA,35,255.752822875977,1,4,29,1,1,0,12.1592970912957,0,0,3.58351893845611
3,9,9,0,0,0,0,NA,NA,35,255.752822875977,1,4,73,2,1,0,12.7465834288456,0,0,3.58351893845611
3,11,5,0,0,0,0,NA,NA,35,255.752822875977,1,9,60,1,1,0,12.2245286250816,0,0,3.58351893845611
