"grappe","rendement_moyen_grappe","n_parcelles"
53,20634.2248343093,12
56,5320.47619047619,7
57,12937.2775608258,11
58,9784.01657299336,11
59,1948.80952380952,8
60,200,1
61,14516.6666666667,2
62,66.6666666666667,1
63,1539.51890034364,2
64,2001.99718045113,8
67,7173.47587719298,8
68,700.595238095238,7
69,1793.75,4
70,11290.2777777778,12
71,2419.86111111111,12
72,969.047619047619,7
73,492,6
74,2025.27777777778,15
75,942.857142857143,7
76,22.5,2
77,863.809523809524,7
78,625,13
79,861.904761904762,7
80,6481.71296296296,9
81,701.785714285714,7
82,4480.70833333333,10
84,4711.47727272727,11
85,318.888888888889,9
86,1012.30158730159,12
87,622.916666666667,12
88,12786.5839243499,3
89,5400,1
90,824.166666666667,9
105,1183.41272727273,10
106,10614.6428571429,7
107,22590.5757575758,11
108,7171.375,20
109,7838.21428571429,16
110,4940.79365079365,21
111,10351.8068181818,11
112,54373.7142857143,14
113,3171.05882352941,17
114,8757.23214285714,14
115,5529.20588235294,17
116,5754.0742481203,19
117,30634.9333333333,6
118,14067.0520833333,8
119,15787.2738095238,14
120,7521.36904761905,14
121,10429.1785714286,14
122,10448.1364468864,13
123,11726.5454545455,11
124,2588.79901960784,17
125,512,1
126,14599.4230769231,13
127,25997.1617647059,17
128,5860.78846153846,26
129,27183.0277777778,18
130,14126.7929292929,11
131,10736.6571428571,10
132,26594.696969697,11
133,32329.5588235294,17
134,12651.8560606061,11
135,18018.6282051282,13
136,28366.479978355,11
137,11319.1244444444,15
138,16759.3452380952,14
139,4417.05303030303,11
140,8854.13636363636,22
141,4260,3
142,3889.66666666667,3
143,30883,8
144,26474.0098522168,29
145,21508.40625,16
146,24477.3251231527,29
147,2872.11764705882,17
148,10939.6118421053,19
149,3459.05357142857,14
150,2446.5625,12
151,20118.9761904762,12
152,13773.2738095238,20
153,32433.7142857143,20
154,17721.8504901961,17
155,20042.2090909091,11
156,13017.7450980392,17
157,12135.9333333333,15
158,10888.5972222222,18
159,1418.58333333333,15
160,21780.0961538462,13
161,18546.25,8
162,5468.95833333333,12
163,18648.2275132275,9
165,10697.4320512821,13
166,22915.4866071429,14
167,4258.57291666667,16
168,8129.67948717949,13
169,15708.4562770563,15
170,2668.33333333333,5
171,4118.78921568627,17
172,22890.4273504274,13
173,3366.56666666667,15
